"Project","Customer","Customer Tier","Project Status","Competency","IC","Secondary IC","IC Lead","Station Name","Estimated Go Live Date","Integration Type","Template Name","Surge Transferable","Product Detail","Jira Ticket Number","Developer Name","Engineering Due Date","Action Pending On","Engineering Status","HR Source","ITSM Source","Directory Source","Downstream App","Use Case","Comment"
"ADP Workforce Now/Active Directory","Bandit Industries","Bronze","Closed","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Madhusudhan Jami","Madhu","","2025-02-14T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","Need to follow up with EM for Customer signoff"
"ADP Workforce Now/Entra ID","Parametrix, Inc.","Bronze","Customer Signed Off","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Madhusudhan Jami","Madhu","","2026-04-18T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","Need to follow up with EM for Customer signoff"
"ADP Workforce Now/Active Directory","Parametrix, Inc.","Bronze","Customer Signed Off","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Madhusudhan Jami","Madhu","","2026-04-18T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","Need to confirm with EM on further steps"
"ADP Workforce Now/Entra ID","ACT Chargers","Bronze","Testing & UAT","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Shravani","Madhu","","2026-04-27T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","Customer testing in progress in report Only, Customer is on leave till July 7th"
"ADP Workforce Now/Active Directory","ACT Chargers","Bronze","Testing & UAT","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Shravani","Madhu","","2026-04-27T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","Customer testing in progress in report Only"
"ADP Workforce Now/Active Directory","Jobs For The Future, Inc.","Bronze","Testing & UAT","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Rajat","Madhu","","2026-05-01T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","EM following up with customer for call , No customer response"
"ADP Workforce Now/Entra ID","Jobs For The Future, Inc.","Bronze","Onboarding","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Rajat","Madhu","","2026-05-01T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","EM following up with customer for call , No customer response"
"ADP Workforce Now/Entra ID","BlueAlly","Silver","Go Live Completed","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Madhusudhan Jami","Madhu","","2026-05-18T00:00:00.000Z","DATA SYNC","","false","Product has all features","","","","","","","","","","","Customer partially live"
"ADP Workforce Now/Active Directory","The Building Center","Bronze","Testing & UAT","8. ADP WFN to Microsoft","Jorge Luis Felix Reyes","Gowtham Kumar","Madhu","","2026-06-01T00:00:00.000Z","UserSync","","false","Product has all features","","","","","","","","","","","Customer still working on there AD and Entra setup to fully cloud only . Call will after 1-2 weeks"
"Dayforce/Entra ID","Laurentis Energy Partners Inc.","Silver","On Hold","7. Dayforce to Microsoft","Saurav Kumar","","Madhu","","2026-06-22T00:00:00.000Z","Core Templates","Dayforce / Entra ID","false","","","","","","","","","","","",""
